000568.SZ,000858.SZ,002007.SZ,002032.SZ,0388.HK,0700.HK,1093.HK,1169.HK,1177.HK,2269.HK,300015.SZ,600009.SH,600161.SH,600519.SH,600809.SH
38.36,54.3,36.65,47.7,208.8,260.0,16.2,16.7,6.84,55.9,27.5,48.6,20.85,610.1,34.95
35.6,48.87,35.09,46.68,205.4,260.0,15.92,16.1,6.62,53.0,26.21,43.74,21.09,549.09,31.46
36.65,47.49,33.08,44.9,204.6,252.2,15.94,16.26,6.73,54.45,26.7,47.8,20.86,524.0,31.5
38.06,48.15,34.12,48.62,208.0,267.0,16.54,16.38,7.03,55.85,27.04,49.55,21.45,548.9,32.34
38.28,49.65,34.53,47.9,213.6,277.8,16.98,16.94,7.38,57.4,27.09,50.17,21.01,563.0,33.1
41.0,53.69,36.71,49.86,227.2,303.6,18.26,18.34,8.19,64.1,29.13,54.2,21.69,599.9,34.84
39.59,51.75,36.9,50.45,221.0,292.4,18.2,17.94,7.93,62.05,28.25,52.2,21.46,575.8,33.84
38.85,50.8,37.34,50.4,221.8,292.0,18.64,17.96,8.21,62.8,28.6,52.15,21.31,566.0,33.65
38.92,50.5,36.3,50.17,224.4,293.4,18.78,17.48,8.19,65.0,28.24,51.2,21.57,566.4,33.49
39.06,50.69,36.2,50.09,227.0,293.6,18.38,17.48,8.1,65.3,27.9,50.26,21.38,570.34,33.55
38.97,50.01,36.0,48.93,221.4,279.2,18.3,17.16,7.89,63.55,27.84,49.64,20.89,562.0,33.15
38.78,50.05,37.15,49.86,222.8,270.6,18.6,17.02,8.01,62.0,28.17,49.57,22.0,552.0,33.21
40.55,51.25,37.34,50.6,224.8,274.4,18.74,17.28,8.08,63.05,28.52,49.91,22.17,570.0,33.84
39.95,50.17,38.01,50.4,225.6,272.2,17.7,17.54,7.72,63.25,28.01,50.0,22.15,555.1,33.18
40.4,50.59,38.06,50.2,229.0,288.0,17.44,17.56,7.43,65.4,28.37,50.4,22.16,559.7,33.41
40.29,50.69,36.75,50.72,228.4,290.4,17.4,17.44,7.36,65.8,28.12,51.6,21.87,560.0,33.59
41.44,51.69,36.62,51.0,228.0,291.2,17.1,18.4,7.51,67.7,28.39,51.03,22.02,569.02,34.49
40.32,50.61,37.45,50.03,224.2,281.6,16.2,17.62,7.19,65.55,27.68,50.04,21.57,561.6,33.34
41.19,51.13,39.19,52.18,225.0,289.6,16.56,17.68,7.44,65.8,27.95,50.04,21.81,564.7,33.52
41.3,50.99,39.12,51.73,226.4,295.0,16.0,18.44,7.07,65.15,27.83,49.39,22.11,564.5,33.45
40.23,50.02,38.53,51.26,226.0,291.2,15.9,17.92,7.07,61.8,27.45,49.0,21.22,556.9,32.49
40.02,50.09,38.37,51.98,229.4,298.0,16.1,17.8,7.19,59.8,28.22,49.21,20.95,552.11,32.16
39.78,49.78,38.22,52.5,228.2,303.8,16.16,17.78,7.23,59.95,28.59,47.98,21.07,548.1,32.3
40.22,50.24,38.39,53.26,230.4,314.8,16.32,18.12,7.42,62.15,28.59,49.45,21.2,557.0,32.84
39.95,50.43,37.28,52.97,228.2,312.0,15.84,18.68,7.1,64.15,28.04,48.43,20.73,551.6,33.7
41.0,52.39,37.78,53.7,228.0,312.0,15.84,18.22,7.14,65.6,28.5,50.1,21.7,565.0,35.85
42.9,55.09,39.32,54.19,235.0,324.8,16.18,19.0,7.31,67.55,29.82,51.26,22.22,601.2,38.08
42.95,54.95,39.66,54.65,239.8,328.4,16.52,19.18,7.23,67.6,30.51,52.08,22.62,602.23,38.13
43.82,54.91,40.36,54.97,235.8,321.0,16.16,18.64,6.95,66.4,30.32,51.65,22.84,610.1,39.72
42.28,53.0,38.43,54.59,231.0,304.2,13.82,18.22,5.84,62.35,30.0,50.5,22.57,591.8,38.66
42.61,53.2,37.78,53.81,229.0,310.6,13.22,18.24,5.38,59.0,29.4,49.93,22.78,587.0,38.34
42.25,52.33,37.75,55.05,225.4,308.0,12.76,17.64,5.29,49.9,29.16,49.61,22.27,577.23,37.89
42.46,52.82,37.85,55.07,227.0,311.2,13.04,17.8,5.42,52.35,30.42,49.78,23.0,582.99,38.14
43.24,53.17,37.51,55.21,230.0,316.8,12.78,18.18,5.39,54.6,30.31,49.7,22.22,589.0,38.0
44.03,54.01,38.06,57.22,234.2,318.6,13.12,19.24,5.47,56.9,30.25,51.8,22.71,601.75,38.42
43.2,52.99,34.25,55.32,232.2,308.8,11.54,19.28,5.21,56.95,29.48,51.23,20.95,592.96,39.03
42.64,52.82,33.53,55.37,231.2,308.8,11.58,18.96,5.25,56.5,28.96,50.01,20.62,590.52,38.75
42.88,52.94,33.58,53.08,229.6,302.8,11.7,18.54,5.33,55.85,28.46,50.49,20.78,590.94,38.21
41.3,52.56,32.4,52.65,231.4,303.0,11.38,18.66,5.2,53.0,26.95,49.85,20.37,577.8,37.9
41.05,51.86,32.29,54.2,227.6,301.6,10.86,18.74,5.09,50.45,26.83,50.05,20.63,574.5,37.76
39.68,50.6,32.15,51.97,228.2,315.2,11.04,18.24,5.08,51.0,26.35,49.44,20.34,567.41,36.6
40.16,50.96,32.97,54.81,227.6,310.6,11.12,18.1,5.15,49.4,26.75,50.28,20.94,568.0,36.85
40.53,50.86,33.1,52.6,,,,,,,26.59,50.05,21.22,565.79,36.44
39.69,50.41,33.25,53.51,,,,,,,26.18,50.82,21.3,560.08,35.66
40.1,50.15,32.8,52.89,225.2,309.6,10.72,18.2,5.0,49.7,26.12,51.53,21.1,563.0,35.03
40.66,50.88,32.8,52.5,225.2,310.0,11.22,18.68,5.09,51.6,26.3,50.76,21.25,590.01,35.05
39.6,49.94,29.89,52.03,222.0,306.6,10.68,18.58,4.97,48.7,24.62,50.38,19.8,598.98,34.2
38.13,48.96,30.11,48.07,221.2,305.0,10.06,18.6,4.63,45.75,24.8,49.7,19.23,590.0,33.08
38.97,49.54,31.27,50.07,227.0,310.6,11.08,18.9,5.02,49.45,25.7,49.82,19.58,602.0,34.11
38.72,49.31,31.18,51.05,231.0,317.6,11.28,19.0,5.01,50.95,26.0,49.78,19.52,605.49,33.86
38.77,49.02,31.41,51.0,229.2,315.6,11.32,18.88,5.05,52.3,25.9,49.84,19.55,604.79,33.83
39.49,50.03,31.31,51.81,235.8,327.6,11.36,20.05,5.08,54.5,26.13,50.69,19.42,616.12,35.01
38.81,49.86,30.62,50.44,234.0,329.0,12.22,20.55,5.67,58.2,26.27,49.8,19.4,618.77,34.68
39.3,50.69,30.91,50.07,235.0,331.2,12.06,20.55,5.45,57.8,25.95,49.1,19.34,635.88,35.37
38.47,49.59,30.56,50.73,233.2,321.8,11.68,19.9,5.36,56.85,25.69,47.88,17.77,624.6,34.37
41.83,52.97,31.43,51.3,237.0,330.0,11.92,20.25,5.46,57.7,26.3,48.37,18.39,659.98,37.81
41.11,52.2,32.46,50.68,238.6,331.0,12.56,20.6,5.85,58.55,26.89,47.48,18.82,661.1,36.89
41.08,51.92,32.27,50.5,238.2,331.2,12.62,20.2,6.02,60.0,26.72,47.65,18.95,659.25,36.88
42.2,53.88,32.81,50.56,239.4,337.0,13.1,21.3,6.46,61.45,27.0,49.99,19.1,683.61,37.6
42.63,56.0,33.7,50.7,243.0,340.0,13.12,21.6,6.23,62.5,27.43,50.55,19.14,686.98,38.22
42.05,55.21,33.35,50.01,241.0,335.8,12.64,21.0,6.03,60.5,26.84,48.5,19.13,671.0,37.09
42.26,55.07,33.35,49.5,240.2,333.2,12.86,21.05,6.1,60.7,26.9,47.85,19.0,665.66,37.0
42.41,55.2,33.37,50.93,240.2,330.2,13.08,21.0,6.09,63.05,26.72,47.33,19.54,672.5,38.0
42.72,55.25,33.69,52.51,242.8,343.8,13.14,21.65,6.09,64.0,26.81,48.14,19.88,679.7,38.14
43.12,57.47,33.61,52.59,244.0,341.6,12.6,21.55,6.0,62.1,27.1,48.88,20.11,677.0,38.44
43.38,58.58,33.77,52.44,242.0,342.4,12.98,21.4,6.38,65.05,27.46,49.2,19.98,685.0,39.98
42.18,57.28,32.82,52.74,241.2,344.2,12.98,21.9,6.31,66.45,27.17,49.11,19.86,676.0,39.43
42.67,60.3,33.61,52.99,244.0,346.0,13.46,22.55,6.6,67.45,27.16,49.3,19.85,689.6,39.94
43.75,61.18,34.5,52.75,243.6,348.0,13.62,22.85,6.7,68.0,28.27,49.55,20.68,692.67,39.98
46.81,64.7,34.58,54.83,241.8,352.0,13.2,22.5,6.71,69.0,29.05,50.25,20.82,725.3,41.67
47.48,64.75,36.1,54.76,252.0,351.4,13.92,22.8,7.05,70.0,29.22,50.63,21.3,717.92,43.43
47.71,66.07,36.62,55.35,258.8,347.8,14.08,23.2,7.06,70.2,29.83,52.7,21.45,735.25,43.94
48.86,67.96,36.33,56.35,257.8,341.8,14.16,22.5,7.11,70.7,29.7,53.19,21.59,737.16,44.87
47.7,66.4,35.87,54.63,251.0,333.8,13.6,21.9,6.89,68.85,29.69,52.0,21.5,724.78,44.42
49.88,69.87,36.85,54.9,253.0,339.8,14.06,22.85,6.96,69.2,31.56,53.22,21.93,740.0,47.35
50.02,69.67,35.41,54.08,257.4,336.8,12.94,22.85,6.54,66.95,31.82,54.5,21.56,730.76,46.79
50.26,69.01,35.67,53.85,260.0,341.0,12.86,23.1,6.41,69.0,31.28,56.31,21.61,722.0,47.63
49.8,68.05,35.48,53.1,264.0,343.2,13.22,22.95,6.52,72.65,31.3,56.8,21.33,720.25,47.4
50.1,68.5,35.49,53.5,266.8,344.0,13.46,22.85,6.58,77.55,31.58,58.97,21.68,726.01,47.0
52.39,71.26,36.8,58.85,273.8,343.8,13.2,22.9,6.66,76.1,32.49,59.45,22.3,742.33,48.87
50.85,68.92,38.35,59.55,270.0,343.0,13.54,23.2,7.01,75.85,32.16,56.93,22.57,727.35,47.67
51.28,70.06,37.91,61.16,268.0,340.2,13.56,22.7,6.9,75.0,31.0,55.88,22.11,740.7,48.31
51.24,71.5,38.71,61.5,270.6,335.8,13.4,23.4,6.81,74.5,32.17,57.26,22.71,755.01,49.59
53.49,75.9,38.83,64.56,275.4,336.2,13.26,24.55,6.84,77.8,33.14,59.5,22.94,789.3,52.51
54.4,77.25,38.9,66.07,279.2,346.8,13.84,25.25,7.02,80.45,33.15,58.89,22.78,781.86,54.25
54.18,77.77,39.21,65.92,277.6,361.4,13.96,25.1,7.07,79.95,32.82,57.86,22.75,779.78,55.3
53.59,76.99,38.9,64.9,278.6,362.0,13.96,25.1,6.99,80.0,32.96,57.11,22.68,768.0,55.1
51.58,73.97,38.21,63.6,271.6,355.2,13.62,24.15,6.8,79.65,31.86,56.42,22.52,748.6,52.77
49.88,71.44,38.28,62.66,266.6,347.0,13.22,23.1,6.56,76.75,30.69,56.19,22.16,737.5,51.2
51.45,76.0,41.25,62.55,272.2,354.8,13.38,23.4,6.95,80.15,31.94,57.15,22.87,758.54,54.0
50.76,75.3,40.62,62.46,277.4,361.0,13.64,23.65,7.06,79.2,31.75,56.87,22.83,745.01,53.24
50.45,76.5,42.62,62.4,275.4,358.4,13.32,23.45,6.79,79.8,31.35,56.34,22.68,754.0,52.35
51.43,77.15,42.45,61.83,272.4,357.6,13.0,23.1,6.67,78.55,31.41,57.26,22.12,778.0,53.18
53.27,78.78,44.02,63.84,274.8,359.0,13.46,23.85,6.87,79.3,32.22,57.78,22.97,777.3,55.01
58.6,86.66,45.12,66.88,280.6,368.8,13.96,25.2,7.02,81.0,33.44,58.51,24.0,810.09,60.0
59.16,86.0,44.46,65.56,278.4,370.0,14.42,24.7,7.38,83.35,32.68,58.9,23.79,792.61,58.51
60.91,85.7,43.75,65.65,274.0,370.0,14.48,24.35,7.13,80.85,32.59,58.03,23.94,792.8,57.7
60.02,84.9,42.8,64.8,272.0,363.0,15.0,24.5,7.35,78.15,32.3,58.05,23.88,785.75,56.83
61.03,86.05,43.12,64.81,272.8,365.0,15.04,24.7,7.3,78.0,32.26,59.95,24.0,794.0,57.69
59.71,82.81,41.9,63.66,265.4,353.8,14.34,24.2,7.0,73.95,31.49,57.05,23.79,775.6,56.35
59.16,84.47,42.26,63.76,265.8,351.4,14.12,25.05,6.95,73.4,31.27,57.06,23.45,773.0,56.9
61.54,87.98,42.9,66.19,268.2,354.6,14.4,24.9,6.98,77.1,32.44,58.06,24.3,788.5,57.97
64.39,90.3,43.97,69.0,267.4,354.0,14.38,22.8,6.91,75.7,32.43,59.62,24.28,806.8,58.12
66.58,95.0,45.0,75.03,273.6,361.0,14.6,22.8,7.16,76.35,34.0,62.15,25.1,853.99,60.47
67.3,96.57,45.39,74.6,277.6,365.0,14.92,23.4,7.32,77.15,34.38,61.71,25.45,859.0,60.94
66.51,96.06,44.25,75.27,278.6,366.0,14.96,23.45,7.25,77.15,33.82,62.07,25.4,850.0,59.74
65.7,95.4,44.9,73.27,280.8,378.0,15.18,24.2,7.48,79.2,33.8,62.17,25.9,844.5,59.4
67.9,100.23,44.74,72.53,280.0,376.0,15.36,23.8,7.45,79.5,33.6,62.57,26.18,865.0,61.43
68.99,102.0,44.36,72.79,285.4,380.2,15.92,23.95,7.98,80.4,33.21,61.06,25.84,900.2,61.0
69.09,110.02,46.12,72.42,282.4,383.6,16.32,23.75,8.25,82.7,34.5,61.5,25.9,905.0,60.8
72.7,107.0,46.46,77.08,281.0,388.8,16.16,23.2,8.16,83.2,34.32,62.88,26.74,947.99,61.75
70.5,99.8,43.65,72.9,277.0,391.4,15.88,22.7,8.04,81.0,33.07,61.44,26.13,925.2,57.61
69.6,99.62,43.84,72.53,276.6,393.8,15.88,22.6,8.0,81.6,33.69,60.77,25.42,914.0,56.88
67.55,100.6,42.45,71.57,274.4,388.2,15.72,22.5,7.83,81.8,32.8,61.15,25.19,907.0,57.11
69.02,102.21,43.3,73.2,278.0,393.6,15.94,22.8,7.95,83.85,33.4,62.5,25.92,939.9,58.7
69.53,103.62,43.31,73.8,278.0,395.6,15.64,22.9,7.97,83.65,33.76,63.0,25.82,952.0,59.25
69.15,102.34,42.89,75.14,277.2,391.6,15.34,23.15,7.8,80.25,33.69,64.08,25.72,945.5,60.01
69.14,101.66,43.48,77.42,,,,,,,33.78,66.56,26.0,952.56,59.62
69.98,101.13,43.8,74.84,,,,,,,34.46,66.5,25.2,949.2,58.53
72.45,104.31,43.52,74.19,277.0,393.0,15.0,22.15,7.57,80.0,34.15,69.23,25.22,974.95,58.22
71.74,103.5,43.4,74.28,273.4,393.0,14.98,22.2,7.63,79.6,34.92,67.9,25.03,970.0,57.4
70.48,100.6,43.57,67.6,270.4,382.8,14.8,21.25,7.51,78.45,35.73,68.45,25.05,952.37,58.04
75.43,102.27,41.75,69.12,272.8,384.0,14.74,21.4,7.51,79.1,36.07,66.08,24.5,945.0,57.5
76.37,102.29,42.75,67.88,273.8,390.6,15.24,21.9,7.58,79.3,37.09,70.5,25.17,971.97,55.6
77.88,102.36,42.66,67.77,272.0,388.0,15.12,22.45,7.54,78.9,37.33,70.63,25.2,974.0,57.43
70.5,92.12,39.86,67.35,266.0,375.6,14.42,21.65,7.33,79.3,34.5,66.9,24.1,906.0,52.32
72.32,95.96,41.1,68.95,265.2,380.8,14.42,21.3,7.38,81.5,36.8,71.38,24.16,890.0,54.26
71.22,95.88,41.49,66.16,261.0,384.8,14.12,21.05,7.4,80.1,35.09,68.97,23.95,884.4,56.23
67.7,91.81,40.58,64.22,248.0,375.6,13.52,20.5,7.03,75.15,33.71,67.54,23.36,858.81,53.46
71.81,99.2,42.33,67.79,252.0,382.0,13.84,20.8,7.38,79.05,35.12,72.6,24.47,907.12,55.9
71.7,103.6,42.15,67.18,,,,,,,35.84,70.46,24.5,892.0,57.09
70.65,102.48,42.24,65.82,247.2,370.6,13.72,19.96,7.43,74.7,35.12,68.5,24.34,886.57,56.22
77.72,109.9,43.91,67.55,248.0,374.0,13.92,20.85,7.68,76.5,36.1,70.56,25.11,927.0,59.27
81.0,109.98,44.09,68.05,247.6,365.6,14.26,20.25,8.13,77.05,36.39,73.52,25.66,929.91,61.11
77.35,106.46,43.05,67.51,244.6,355.8,14.04,20.05,7.88,75.4,36.3,71.26,25.31,906.79,59.7
74.1,104.0,42.9,68.23,242.2,342.0,13.86,19.5,7.82,70.35,36.69,69.06,25.65,884.96,57.8
75.74,104.2,43.86,68.38,244.6,341.2,13.84,19.36,7.66,70.4,36.8,69.53,25.53,895.0,57.98
73.65,103.31,44.06,69.6,249.6,339.0,13.66,19.48,7.7,70.2,36.29,70.01,25.52,888.0,57.07
70.55,99.83,42.4,73.15,246.4,326.0,12.9,19.0,7.32,70.5,35.39,68.9,25.01,861.0,55.78
72.2,101.02,41.68,70.03,248.0,324.8,12.98,19.28,7.36,72.9,35.4,68.03,25.68,878.5,56.11
72.31,102.0,42.27,69.86,249.2,323.8,13.02,19.36,7.83,75.9,35.8,68.1,26.02,879.0,56.5
73.99,103.1,42.48,70.79,254.6,325.6,13.16,20.05,8.08,78.35,37.89,70.1,25.93,888.0,57.2
73.79,104.55,41.9,69.75,255.4,322.0,13.22,19.94,7.91,77.3,37.13,68.86,26.1,911.91,57.02
72.0,103.13,42.08,69.81,251.6,324.4,12.6,20.05,7.85,75.55,37.75,69.56,26.19,905.3,56.13
70.63,101.25,42.17,71.15,249.4,326.0,12.64,19.98,7.91,74.1,38.29,69.14,26.68,890.0,56.52
69.6,101.46,42.93,72.37,246.6,333.6,12.56,20.2,7.81,73.65,37.46,69.65,27.1,892.0,55.77
67.9,99.19,41.73,69.45,244.6,327.2,12.08,19.84,7.62,71.25,37.3,70.01,26.4,875.3,53.8
68.16,99.05,39.8,69.49,248.8,331.0,11.5,19.94,6.98,71.7,27.84,69.5,26.2,871.6,54.0
66.8,97.29,39.03,68.8,250.6,330.4,11.52,20.0,6.9,72.45,28.09,69.8,25.44,862.13,53.89
67.91,100.44,39.73,69.82,258.0,343.0,11.72,21.05,7.14,74.3,28.6,73.6,26.54,871.08,56.08
72.05,108.95,41.18,72.0,264.8,344.6,11.82,21.15,7.19,74.4,29.34,75.72,26.9,910.89,59.88
71.29,107.61,41.36,71.82,259.2,337.4,11.5,20.65,7.0,74.35,29.18,74.13,26.99,906.7,59.96
70.73,106.8,41.3,72.7,262.4,334.2,11.56,20.15,7.05,74.1,28.84,73.93,26.68,910.0,59.4
70.24,104.96,41.8,72.48,260.4,330.0,11.44,20.0,7.1,73.2,28.5,73.16,23.0,913.0,58.68
69.82,103.7,27.4,71.58,263.8,329.0,11.56,19.96,7.22,73.5,28.83,74.84,22.76,911.6,59.2
69.7,104.08,28.1,72.46,271.0,334.0,11.82,20.2,7.4,72.95,29.35,75.37,23.03,917.0,58.99
71.0,105.9,28.71,74.45,277.8,347.2,12.12,21.05,7.65,70.8,29.36,76.55,23.61,932.01,59.32
74.16,112.97,29.01,76.77,278.2,354.0,12.4,21.0,7.78,73.35,29.98,78.8,24.06,975.0,62.3
75.8,112.98,28.8,77.19,276.8,354.4,12.22,21.65,7.68,69.05,30.2,78.24,23.81,976.3,62.02
76.9,115.06,29.26,76.6,276.4,355.8,12.32,21.65,7.85,69.3,30.08,79.14,24.06,987.1,63.15
77.2,114.9,29.31,76.5,272.2,349.4,12.04,21.65,7.82,66.5,30.5,78.49,24.11,982.98,64.75
76.24,113.82,29.66,75.95,273.2,349.0,12.46,21.25,8.04,68.1,31.04,79.2,24.12,979.86,63.85
80.93,117.3,29.9,75.99,277.0,352.8,12.7,21.5,8.16,69.4,31.0,81.27,24.72,996.35,68.04
80.83,117.95,30.49,75.83,275.8,352.6,12.6,21.6,7.99,70.15,30.97,83.78,25.25,984.0,69.05
83.65,126.0,31.68,78.0,,,,,,,31.88,86.5,25.95,1031.86,71.5
84.18,128.0,32.1,77.52,280.0,362.4,12.8,21.6,8.31,74.75,31.77,84.43,25.9,1025.0,71.06
82.77,123.91,31.48,75.59,279.6,360.4,13.12,21.5,8.44,74.4,30.96,82.86,25.33,987.9,69.46
81.43,123.09,31.03,74.7,278.0,360.0,13.04,21.6,8.68,74.85,30.25,79.75,25.35,981.2,68.4
84.9,129.81,33.1,76.05,278.4,359.8,12.86,21.75,8.8,74.65,30.78,81.4,25.41,999.82,71.68
83.7,127.03,31.62,73.73,274.2,351.0,12.52,21.6,8.5,73.45,30.74,79.79,25.15,984.86,69.75
83.51,126.0,31.65,73.0,270.6,350.8,12.2,21.35,8.44,73.4,31.0,80.39,24.9,976.06,69.74
85.1,126.43,31.66,72.52,270.8,356.8,12.7,21.65,8.72,73.6,30.55,81.4,24.65,982.52,70.1
86.0,123.5,31.25,73.2,273.4,357.2,12.9,21.65,8.66,73.4,30.5,80.18,24.46,981.5,69.49
88.45,125.58,31.97,73.69,275.4,355.0,12.58,20.8,8.52,71.7,30.3,81.93,25.92,986.09,70.81
87.48,125.09,31.7,72.01,272.2,360.8,13.46,20.95,8.99,72.9,30.78,81.0,24.95,975.93,69.65
84.9,123.58,31.19,69.85,273.6,362.6,13.7,20.8,8.93,75.35,30.44,79.6,24.47,968.0,68.89
84.41,123.6,31.22,69.37,273.6,363.2,13.5,20.9,8.87,76.35,30.33,80.53,24.06,963.5,69.29
83.66,121.0,31.25,68.71,273.0,356.6,13.34,20.35,8.83,78.9,29.57,81.01,23.37,947.5,67.9
84.45,122.14,31.37,68.01,273.4,361.8,13.28,20.2,9.0,82.05,29.72,81.51,24.94,955.87,69.49
85.2,123.45,31.19,68.01,266.6,357.6,13.1,19.48,8.89,81.8,29.81,82.06,24.7,957.02,68.26
81.1,120.05,30.93,68.54,267.4,358.6,13.24,19.12,9.39,82.0,30.03,81.98,25.64,953.98,68.3
81.22,119.5,31.17,69.49,266.8,365.6,13.34,19.12,9.25,82.15,30.11,81.69,25.53,946.36,68.3
81.81,121.68,31.0,69.45,268.8,372.4,14.16,19.18,9.59,82.7,30.06,84.0,25.55,963.0,68.35
82.21,121.25,31.0,70.82,268.6,370.2,13.88,18.9,9.45,82.0,30.89,85.05,25.92,965.03,68.66
82.93,123.75,30.85,69.89,265.0,372.2,13.74,19.38,9.5,83.3,30.81,84.98,25.83,976.41,69.62
82.19,122.9,30.87,69.78,266.4,373.2,13.74,18.96,9.58,83.45,30.48,84.26,25.68,978.93,68.8
80.64,120.71,29.98,68.86,265.6,368.2,13.76,18.54,9.68,84.35,30.49,82.78,25.98,972.6,67.79
79.87,119.03,29.39,69.24,264.6,370.0,13.6,19.2,9.6,83.7,30.24,82.01,25.5,959.3,66.85
79.81,118.12,29.23,67.53,256.2,355.8,12.92,18.62,9.13,81.15,30.45,81.9,25.64,954.45,65.7
77.31,116.95,29.25,65.53,247.8,340.6,12.52,18.36,8.97,78.65,29.68,79.36,24.95,942.43,64.78
78.9,121.28,29.58,66.55,244.8,337.2,12.4,18.0,9.22,79.55,29.1,78.95,24.97,946.3,65.15
77.99,118.88,30.04,66.5,246.6,338.6,12.4,17.74,9.26,79.55,29.87,79.01,26.67,945.0,65.15
79.3,120.52,30.38,68.2,246.8,342.4,12.44,18.26,9.45,79.4,30.9,80.75,26.9,971.68,66.1
77.38,118.02,30.82,68.98,242.2,338.4,12.32,18.5,9.32,78.8,30.88,80.15,26.92,962.03,64.5
79.63,122.84,32.13,69.1,239.8,340.0,12.32,18.68,9.43,79.9,31.09,81.37,27.3,1018.63,66.67
79.2,122.3,31.93,69.09,234.0,334.0,12.02,18.1,9.11,79.4,30.99,80.78,27.35,1017.95,68.22
83.52,125.85,32.5,69.24,235.2,340.0,11.94,18.22,9.07,80.7,31.55,81.5,27.96,1043.33,69.2
84.28,125.98,32.6,69.29,238.0,330.4,11.96,18.32,9.06,79.0,31.65,82.07,27.88,1044.9,68.35
86.0,126.3,33.13,69.4,245.0,326.4,12.44,18.18,9.42,79.9,31.88,84.84,29.0,1054.6,69.71
86.2,127.9,32.97,70.19,252.8,336.8,12.96,18.78,9.93,82.4,32.08,84.86,28.7,1055.88,69.96
86.3,129.59,32.79,68.71,252.4,333.4,14.4,18.5,10.1,83.0,32.0,83.96,27.9,1070.0,71.0
